"Salony kosmetyczne"|"Nd Nails Of Dream Hanna Spatar"|"Powstańców Listopadowych 29C lok. 8"|35606|Rzeszów||annaspatar85@gmail.com|
"Salony kosmetyczne"|"Projekt Paweł Mróz"|"Solna 2"|86300|Grudziądz||anna_linkner@wp.pl|
"Salony kosmetyczne"|"Monika Żabińska Make-Up & Nails"|"gen. Sikorskiego 25A"|32540|Trzebinia|"501 157 552"|m.zabinska@onet.eu|
"Salony kosmetyczne"|"Skin Day Spa Dorota Kołakowska"|"Długa 10a"|06500|Mława|48511609009|skindayspa.mlawa@o2.pl|
"Salony kosmetyczne"|"Scarlett Studio Stylizacji Paznokci Danuta Nowak"|"pl. Kościuszki 4"|64400|Międzychód|"782 298 160"|danufa@poczta.onet.pl|
"Salony kosmetyczne"|"Studio Figura Czerwińska Aneta"|"kard. Wyszyńskiego 40"|09500|Gostynin|"888 111 771"|studio.gostynin@gmail.com|
"Salony kosmetyczne"|"Studio Estetyki Ciała Dla Niej I Dla Niego - Aneta Balewska"|"Zdrojowa 37"|87700|Ciechocinek|"790 456 493"|anybalewska@wp.pl|
"Salony kosmetyczne"|"Salon Fryzjersko-kosmetyczny Nefretete Sylwia Nowak"|"Kazimierza Wielkiego 29"|77200|Miastko||sylwia.nowak78@o2.pl|
"Salony kosmetyczne"|"Usługi Kosmetyczne Monika Gontarczyk"|72A|96315|"Nowe Kozłowice"|"796 670 961"|gmonika@onet.pl|
"Salony kosmetyczne"|"Salon Kosmetyczny "" 4 You "" Magdalena Wszelaki"|"marsz. Piłsudskiego 21"|87620|Lipno||salon-4-you@wp.pl|
"Salony kosmetyczne"|"Studio Figura Svitlana Dudko"|"Neptuna 16"|59220|Legnica|"881 777 414"|svietlana_dudko@mail.ru|
"Salony kosmetyczne"|"Anna Mazany Gabinet kosmetyczny"|"Brudzyńska 36"|88430|"Janowiec Wielkopolski"|"509 680 069"|annamazany@op.pl|
"Salony kosmetyczne"|"MONIKA KORYCIŃSKA MANILOVE"|"Prosta 4"|05200|Wołomin|"506 147 722"|mani.love.nail@gmail.com|
"Salony kosmetyczne"|"Ik Make Up Iwona Kaliszan - Makijaż permanentny"|"Przyjazna 19"|62023|Robakowo|"792 077 857"|i.kaliszan@wp.pl|www.ik-makeup.pl
"Salony kosmetyczne"|"Trojanowska Agata Make-up Artist"|"woj. pomorskie"|80850|Gdańsk|"608 051 257"|bogdanbembenek@klasykamoda.pl|www.facebook.com
"Salony kosmetyczne"|"Nataliia Kolasinska Masaż I Depilacja"|"Dobrzańskiego 33"|20001|Lublin|"788 359 085"|natali88009707@ukr.net|
